ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,g,bp,rp,bp_rp,bp_g,g_rp
345.78588835001796,1.7452224,59.40361634615105,1.4289292,,,,,,,,20.933804,21.461594,19.611942,1.8496513,0.52779007,1.3218613
345.7514116161205,0.33800742,59.39798294661567,0.30346704,-0.19212916696265303,0.3957056,2.9655857,-2.767341743154553,0.39959228,-1.0660758599123037,0.39527214,20.029535,20.881231,19.082802,1.7984295,0.851696,0.9467335
345.7518375187832,0.09821567,59.403936711302556,0.09444634,0.4219934745590958,0.11850851,4.6607265,-4.399686649271363,0.11628604,-1.5378974004847663,0.12254482,18.17608,19.246363,17.127092,2.1192703,1.070282,1.0489883
345.7404065757187,0.5471389,59.39951422099084,0.4271819,0.6547208748454211,0.59982836,1.7063266,-0.7742440758504017,0.69581753,-1.5205580402184133,0.60590243,20.411758,21.225056,19.373905,1.8511505,0.8132973,1.0378532
345.75277792781475,0.4144795,59.39753172074102,0.3701217,0.27084752364298836,0.49778396,2.9456475,-2.5224235679282687,0.52181053,-1.521255590606627,0.54233986,20.190983,20.818241,19.195131,1.6231098,0.6272583,0.9958515
345.7455449820748,0.07398538,59.40190787738803,0.07106607,0.23856962892934025,0.08970385,2.4571114,-2.0388465702652576,0.09221767,-1.371313683614229,0.08925401,16.928402,17.712584,15.994261,1.7183228,0.7841816,0.93414116
345.7455837165494,0.3965962,59.39760405383826,0.22643097,0.5758290244181955,0.3450578,3.1374888,-2.5306054325284992,0.54195,-1.8546892284630878,0.2697776,18.472172,18.491228,16.997843,1.4933853,0.01905632,1.474329
345.75931889665213,0.20901921,59.40102432328531,0.20855281,0.2934081903830638,0.25795612,2.8925388,-2.519975116492624,0.24757856,-1.4200372430639412,0.2682314,19.42785,20.429869,18.423504,2.0063648,1.002018,1.0043468
345.7660597006504,0.2831945,59.40149575082896,0.30479273,0.19455118976764246,0.36807388,6.2371116,-5.688012916383219,0.3383334,-2.558919249634366,0.38686314,19.645094,20.60299,18.60362,1.9993687,0.9578953,1.0414734
345.7772591992475,0.08254954,59.40332970251858,0.0873737,1.1190049870839376,0.10510302,2.2466233,0.01276173952969617,0.10048016,-2.2465869406572194,0.109452285,18.060995,19.039282,17.073488,1.9657936,0.97828674,0.98750687
345.75545154487907,0.07128096,59.40487309214753,0.07007171,0.24860090268227764,0.08672924,4.6117353,-3.8871947695843194,0.08341072,-2.4814953540241893,0.08910554,17.705648,18.292154,16.986982,1.305172,0.5865059,0.7186661
345.7765744971211,0.9182567,59.41240094530422,0.96763664,0.16540736404871148,1.1488448,4.007555,-3.1927848780061754,1.1004236,2.422111312270075,1.368057,20.443054,21.26967,19.279726,1.9899445,0.8266163,1.1633282
345.7702072168221,0.28417563,59.408514207344204,0.2767191,0.0038383960981050527,0.34759378,1.1446621,-1.0229418576299354,0.31847313,-0.5136548482740512,0.35996938,19.787651,20.701561,18.777975,1.9235859,0.9139099,1.009676
345.77697957670637,0.11946274,59.407605728244214,0.114708394,0.21055662038072104,0.14441882,3.8470035,-3.0596706481637512,0.14178157,-2.3319199231362577,0.1552115,18.581863,19.481415,17.61124,1.8701744,0.8995514,0.970623
345.7590551076772,1.0602298,59.40488136042867,0.8584719,1.8369604996049027,1.1394327,2.8929503,-2.8810052488761437,1.127683,0.2626212490416721,1.2094843,20.690321,20.79245,19.677267,1.1151829,0.10212898,1.0130539
