ra,ra_err,dec,dec_err,u,u_err,g,g_err,r,r_err,i,i_err,z,g_err1
345.522234007472,0.00433775352333027,59.6784578882113,0.00442821149148667,21.7275,0.1242376,19.44241,0.01700852,18.28288,0.008727845,17.70347,0.01277643,17.19457,0.01700852
345.52217461807,0.0326871898582127,59.682913599908,0.0311332561354663,24.63927,0.933304,22.82632,0.1937879,21.04511,0.0591988,20.21147,0.04105129,19.62387,0.1937879
345.533267961833,0.0242617626906196,59.6820108631322,0.0243902679882475,24.21766,0.4532989,22.3262,0.1269765,20.68302,0.03531104,19.99488,0.0327936,19.45585,0.1269765
345.524134824742,0.0204742775328915,59.6842109378247,0.0210274075838661,24.65955,0.9298002,21.99362,0.1229604,20.64542,0.08918121,19.96604,0.09569557,19.59011,0.1229604
345.526952512624,0.0389937064256378,59.6834448949339,0.0375797914774559,23.67673,0.8575723,22.39538,3.850939,20.98031,3.083627,20.30248,1.984426,19.64743,3.850939
345.528500551124,0.00140523081693862,59.6826414119147,0.0014340311293785,19.97483,0.04422144,17.38397,0.01330229,16.21581,0.005951935,15.77574,0.0114658,15.44781,0.01330229
345.546551592448,0.0749218321639164,59.6886621590963,0.0896947524323562,25.47415,0.7073328,24.54424,0.9386234,22.31967,0.1504681,21.52653,0.1182355,20.72353,0.9386234
345.552353473723,0.0393039033075104,59.688294128456,0.0420827490899187,25.46702,0.7165552,23.21416,0.404975,21.28506,0.2663215,20.29849,0.1859147,19.7534,0.404975
345.551828016119,0.00807366110364811,59.6870710856269,0.00841623478263392,23.40819,0.6965969,20.48121,0.05637196,19.25557,0.1038408,18.60109,0.1124089,18.09879,0.05637196
345.548295016055,0.00585746615888798,59.6882876363935,0.00589254430701716,22.3106,0.2329128,19.95394,0.02024275,18.75048,0.01049176,18.09193,0.0135597,17.57589,0.02024275
345.548396729913,0.00394162079147191,59.6861800582987,0.00396288592604486,22.44355,0.284646,19.6246,0.04026937,18.15403,0.03323315,17.5604,0.03597493,17.11467,0.04026937
345.549452505353,0.00320390516047156,59.6852220191826,0.00323915202623993,20.91497,0.07484883,18.93351,0.01562732,17.80884,0.009820253,17.25611,0.01420034,16.85779,0.01562732
345.467513475689,0.0832518631099649,59.6703515255198,0.0900661028298777,24.83325,0.9228212,24.04781,0.474836,22.23337,0.1574143,21.31755,0.1067335,20.63817,0.474836
345.461780975792,0.167001188076531,59.6715251772468,0.130341441535245,23.88559,0.755384,24.1996,0.5408253,22.89639,0.2507047,21.00343,0.08850337,19.87172,0.5408253
